mbirmi,tëggin,xeet,nettalin_fr,nettalin_wo
jafandiku,[ɉʌfʌndiku],verbe transitif,,
jafandu,[ɉʌfʌndu],verbe transitif,s’agripper,Ci buum gi la jafandu ba daanuwul.
jafe,[ɉʌfe],verbe,"être difficile, cher",Liggéey bu jafe nga ma jox.
jag,[ɉʌg],verbe,être bien fait,Sa liggéey jag na.
jagadi,[ɉʌgʌdi],verbe,"éprouver des malaises, ne pas être bien portant",Sama doom dafa jagadi.
jal,[ɉʌl],verbe transitif,mettre en tas,Jal naa sama gerte.
jal,[ɉʌl],nom,tas,Defal ñaari jali suuf.
jaloore,[ɉʌlɔ:re],nom,"exploit, fait glorieux",Dégg naa sa jaloore.
jam,[ɉʌm],verbe transitif,"piquer, atteindre (pour un projectile pointu)",Dég jam na ma ci tànk.
jamano,[ɉʌmʌnɔ],nom,"époque, temps, génération",Bokkunu jamano.
jam-jam,[ɉʌmɉʌm],nom,"blessure provoquée par une arme, piqûre",Jam-jam bi nàcc na.
jamaale,[ɉʌma:le],verbe intransitif,rivaliser avec quelqu’un auprès d’une femme,Moom la doon jamaaleel kër Binta.
jamaale,[ɉʌma:le],nom,rival ne parlant de concurrence masculine dont l’enjeu est une femme,"Sama jamaale daw na, amul fit."
jamono,[ɉʌmɔnɔ],nom,,
jamu,[ɉʌmu],verbe intransitif,se tatouer les lèvres ou la gencive,Janq bu ñemee ngi; jamu na te yënguwul.
jamb,[ɉʌmb],verbe,"malaxer, triturer",Jambal daqaar ji.
janax,[ɉʌnʌx],nom,"souris, rat",Janax ji dugg na ci kan mi.
janaase,[ɉʌna:se],nom pluriel,cimetière,Rob bi yegg na janaase ya.
janoo,[ɉʌnɔ:],verbe transitif et intransitif,,
jang,[ɉʌŋg],verbe,"être incliné, perdre l’équilibre",Jang naa; waante daanuwuma.
janq,[ɉʌŋq],nom,jeune fille,Janq bi maye nañu ko tey.
jant,[ɉʌnt],nom,le soleil,Jant bi fenk na.
jar,[ɉʌr],verbe transitif et intransitif,valoir,Xar mi jar na junni:.
jara,[ɉʌrʌ],nom,bracelet de perles,Jaraam per yu ñuul ag yu weex lañu ko nase.
jaraaf,[ɉʌra:f],nom,représentant du roi dans les anciens royaumes du Cayor et du Jolof,Jaraaf ken du ko donn.
jarbaat,[ɉʌrba:t],nom,"neveu, nièce","Ca cosaan, jarbaat moo dan donn nijaayam."
jargoñ,[ɉʌrgɔɲ],nom,araignée,Jargoñ ràbb na lëndam ci sama néeg.
jariñ,[ɉʌriɲ],verbe intransitif,"servir, être utile à",Weñ gii lu muy jariñ?
jasig,[ɉʌsig],nom,"crocodile, caïman",Jasig mën na rey nag.
jat,[ɉʌt],verbe transitif,réciter des formules ésotériques pour rendre inoffensif un animal dangereux,Ku mën a jat gaynde waruloo ko ragal.
jataŋ,[ɉʌtʌŋ],verbe transitif,lier deux pattes en diagonale,"Fas dañu koy jataŋ, mbaan dañu koy tënk."
jataŋ,[ɉʌtʌŋ]],nom,entrave en diagonale,Dindil jataŋ bi.
jataay,[ɉʌta:j],nom,"conseil, réunion, assemblée",Jataayu mag xaleel du ko fekke.
jax,[ɉax],verbe transitif,remuer un liquide avec un morceau de bois,Bul jax mbànd mi ñoragul.
jaxase,[ɉʌxʌse],verbe transitif,"mélanger, brouiller",Bul jaxase ñaari diw yi.
jaxasoo,[ɉʌxʌsɔ:],verbe intransitif,être inextricable,Wëñ gi dafa jaxasoo ba kenn manu ko teqarñi.
jaxato,[ɉʌxʌtɔ],nom,"“aubergine du diable”, tomate amère, peut désigner le gombo à St Louis (Solanum incanum) (Solanum Aethiopicum)",Jaxato niróo naag tamaate farsi.
jaxatu,[ɉʌxʌtu],nom,,
jaxaay,[ɉʌxa:j],nom,aigle,Jaxaay mën na yóbbu xaleel.
jàdd,[ɉʌd:],verbe transitif,"changer de direction, tourner, s’éloigner des règles de la loi ou de la bienséance","Boo jàddee ci sa càmmooñ, dinga séen sama kër."
jàdd,[ɉʌd:],verbe intransitif,faire un crochet,"Mu ngi doon ñów, xam naa dafa jàdd."
jàkk /né/,[ɉak:],coverbe,regarder fixement,Dama ko né jàkk mu tiit.
jàkka,[ɉak:ʌ],nom,une mosquée,Jàkka Kolobaan laa jullée fajar.
jàkkaarloo,[ɉak:a:rlɔ:],verbe transitif,"être face à face, vis-à-vis",Sunuy kër a jàkkaarloo.
jàll,[ɉal:],verbe transitif,traverser; passer,Jàll naa dex gi.
jàmm,[ɉam:],nom,"paix, tranquillité de l’âme",Bi mu amee liggéey ba-tey mu ngi ci jàmm.
jàmbat,[ɉambʌt],verbe transitif,"se plaindre, rouspéter, protester",Ñëpp a ngiy jàmbat ndox mu ñakk mi.
jàmbaar,[ɉamba:r],nom,"homme brave, courageux",Jambaar la ci liggéey.
jàmb-jóob,[ɉambɉo:b],nom,paon,Jàmb-jóob dafay firi geenam.
jàmbu,[ɉambu],verbe transitif,"déserter, trahir",Buur ba ñeyu xareem jàmbu na ko.
jànni,[ɉan:i],verbe,rabrouer,"Jànni, ci ñakk teggin la bokk."
jàng,[ɉaŋg],verbe transitif et intransitif,"apprendre, lire",Damay jàng dawal woto.
jàngal,[ɉaŋgʌl],verbe transitif,"enseigner quelque chose à quelqu’un, apprendre quelque chose à quelqu’un",Ku la jàngal ?
jàngale,[ɉaŋgʌle],verbe transitif et intransitif,enseigner,Damay jàngale ci daara jii.
jàngara,[ɉaŋgʌrʌ],nom,,
jàngoro,[ɉaŋgɔrɔ],nom,maladie,Jàngoroom du wér.
jànq,[ɉaŋq],verbe intransitif,partir en plein soleil,"Boo yàkkamtiwul, bul jànq."
jàpp,[ɉap:],verbe transitif,"saisir, prendre, arrêter",Jàpp nañu sàcc bi tey ci suba.
jàpp,[ɉap:],verbe,faire ses ablutions,"Jox ma satala gi, ma jàpp."
jàppante,[ɉap:ʌnte],verbe intransitif,"se tenir mutuellement, rester unis",Jàppanteleen nekk benn.
jàppoo,[ɉap:ɔ:],verbe intransitif,"se tenir par la main, s’unir, être solidaire",Nanu jàppoo nay doomu ndey.
jàppoo,[ɉap:ɔ:],verbe transitif,se mettre à plusieurs pour prendre quelque chose,Jàppooleen saaku ceeb bi.
jàq,[ɉaq],verbe,être dans l’inquiétude,"Dama jàq, moo tax ma seetsi la."
jaadu,[ɉa:du],verbe,"être logique, plausible, vraisemblable, conforme à la loi, convenable",Sa lay yi jaaduwuñu.
jaal,[ɉa:l],verbe transitif,présenter ses condoléances à quelqu’un à l’occasion du décès de,Jaal nga ko baayam ?
jaal,[ɉa:l],nom,espace laissé par une ou plusieurs dents arrachées ou tombées d’elles-mêmes,"Sa bëñ foq na, am nga léegi aw jaal."
jaale,[ɉa:le],verbe transitif,présenter ses condoléances,Jaale naa samay dëkkaale.
jaam,[ɉa:m],nom,"captif, prisonnier de guerre",Ci xare lañu daan jàppe jaam bu jëkk.
jaambur,[ɉa:mbur],nom,"homme libre, personne respectable",Kooku jaambur la.
jaan,[ɉa:n],nom,serpent,Fu bare garab jaan du fa ñàkk.
jaar,[ɉa:r],verbe intransitif,passer par,Ci mbédd mii laay jaar bu may ñibbi.
jaar,[ɉa:r],nom,rat palmiste,Jaar dafay yàq tool.
jaaro,[ɉa:rɔ],nom,"bague, paire de boucles d’oreilles","Bënnu naa, léegi mën naa takk jaaro."
jaaru,[ɉa:ru],verbe intransitif,se chauffer auprès du feu,Jaaru na ba lakk.
jaaru,[ɉa:ru],nom,,
jaas /né/,[ɉa:s],coverbe,être arrivé soudainement,Dafa né jaas ci biir.
jaasi,[ɉa:si],nom,coupe-coupe,Jëlal jaasi ji nga gor garab gi.
jaasir,[ɉa:sir],verbe,être stérile,Xar mi amul doom dafa jaasir.
jaat,[ɉa:t],nom,"civière, caisse pour le transport d’un cadavre",Tegleen néew bi ci jaat gi.
jaawale,[ɉa:wʌle],verbe transitif,confondre,Dama laa jaawaleeg sa séex.
jaaxal,[ɉa:xʌl],verbe transitif,étonner,Yaa ngi may bëgga jaaxal.
jaaxaan,[ɉa:xa:n],verbe intransitif,se coucher sur le dos,"Bul tëdde wet, jaaxaanal."
jaaxle,[ɉa:xle],verbe,être dans une situation embarrassante,"Jaaxle naa, xawma fu may jëlé dund."
jaay,[ɉa:j],verbe transitif,vendre,Damay jaay sama fas.
je,[ɉe],nom,,
jege,[ɉege],verbe transitif,être proche,Léegi jege nga ma.
jegesi,[ɉegesi],verbe intransitif,s’approcher,Nawet baa ngi jegesi.
jekk,[ɉek:],verbe,"être beau, élégant, joliment aménagé, harmonieux, convenable",Xaleelu góor bu jekk a ngi nii.
jekkali,[ɉek:ʌli],verbe transitif,"achever, terminer",Jekkali naa sama liggéey.
jekku,[ɉek:u],verbe transitif,être en meilleure position,"Tey jekku naa ko, daan naa ko."
jeqi,[ɉeqi],verbe transitif,remuer à fond,Jëlal kuddu gi nga jeqi ceeb bi.
jeeg,[ɉe:g],adverbe,"irrémédiablement, déjà, dès lors",Nawet ñów na jeeg.
jeeg,[ɉe:g],nom,jeune femme (par opposition à jeune fille),Jeeg bu mana sëy a ngi nii.
jeeñ,[ɉe:ɲ],verbe transitif,,
jeex,[ɉe:x],verbe,"être fini, épuisé amaigri",Ceeb bi jeex na xaat.
jébbalu,[ɉeb:ʌlu],verbe transitif,,
jébbël,[ɉeb:əl],verbe transitif,"livrer à, mettre la jeune épouse à la disposition de son mari",Kañ lañu ko jébbël jabaram ?
jébbëlu,[ɉeb:əlu],verbe intransitif,"se livrer à, se mettre sous la protection spirituelle de quelqu’un",Jébbëlu naa ci sëriñ bi.
jéggi,[ɉeg:i],verbe transitif,"enjamber, traverser","Bu ma jéggi, jaaral fee."
jékki,[ɉek:i],verbe intransitif,"s’asseoir, se tenir tranquille","Jékkil, lëjal nga nu."
jéll,[ɉel:],verbe transitif,"faire passer par dessus un mur, une haie",Jéll ma leget gi.
jéll,[ɉel:],verbe,loucher,"Janq bu rafet la, waaye dafa jéll."
jéll,[ɉel:],nom,chute,Jéll bu metti la daanu.
jéng,[ɉeŋg],verbe transitif,"attacher les pieds, mettre aux fers",Bu-jëkk dañu daan jéng sàcc yi.
jéppi,[ɉep:i],verbe transitif,"mépriser, réprouver, avoir en aversion","Dafa tayel, moo tax ma jéppi ko."
jéri,[ɉeri],verbe transitif,verser à partir d’une certaine hauteur pour trier les graines ou pour refroidir un liquide,Jéril dugub ji ba cox bépp deñ.
jérr,[ɉer:],coverbe,être très (chaud),Attaya ji dafa tàng jérr.
jéeg,[ɉe:g],verbe intransitif,ne pas pouvoir faire de sacrifice à la Tabaski,"Ren tabaskiwuma, dama jéeg."
jéegó,[ɉe:go],nom,pas,"Manuma laa dab, yaa ma gën a gudd i jéegó."
jéem,[ɉe:m],verbe intransitif,"essayer, tenter, faire l’effort de",Jéem naa ko téyé ba tayyi mu bañ.
jéex,[ɉe:x],verbe transitif,fouiller dans le sable,Looy jéex ? danga réeral dara ?
jë,[ɉə],nom,front (anatomie),Sa jë taq na suuf.
jëf,[ɉəf],nom,"acte, fait",Jëf ju ñaaw nga def.
jëfandiku,[ɉəfʌndiku],verbe transitif,"se servir de, employer, user de",Ci sama alal laay jëfandiku.
jëkk,[ɉək:],verbe transitif,devancer arriver avant,Maa la jëkk ca kër ga.
jëkkante,[ɉək:ʌnte],verbe intransitif,être en compétition,Danu doon jëkkante ma raw ko.
jëkkër,[ɉək:ər],nom,mari,Sama jëkkër wutal na ma wujj.
jël,[ɉəl],verbe transitif,prendre,Jël naa sama wàll.
jëm,[ɉəm],verbe intransitif,être en train de se diriger vers,Foo jëm ?
jëmm,[ɉəm:],nom,"personne physique, prestance",Sa jëmm ji laa fa soxla.
jëmbët,[ɉəmbət],verbe transitif,"repiquer, planter",Bu salaat si saxee ma jëmbët ko.
jën,[ɉən],nom,poisson,Jën dafay ñàkk nawet.
jëppet /né/,[ɉəp:et],coverbe,s’enflammer brusquement,"Ñax mi né jëppet, xale yi daw."
jëré-jëf,[ɉəreɉəf],interjection,merci,"Jëré-jëf, yal na la Yàlla fey."
jërr,[ɉər:],coverbe,,
jëw,[ɉəw],verbe transitif,"dénigrer, médire, calomnier","Daf ma dóon jëw, ma bett ko."
ji,[ɉi],verbe transitif,semer,Jiwuma dugub ren.
jib,[ɉib],verbe intransitif,"retentir, faire écho",Bu fi benn baat jib !
jiba,[ɉibʌ],nom,poche,Sama xaalis a ngi ci sama jiba.
jibar,[ɉibʌr],nom,,
jig,[ɉig],verbe intransitif,"être bénéfique, de bonne augure, porter chance",Tàngal xolu mag du jig gune.
jige,[ɉige],verbe transitif,,
jigéen,[ɉige:n],nom,femme par opposition à l’homme,Jigéen dañu koy suturaal.
jigéen,[ɉige:n],nom,sœur par rapport au frère,Kii sama jigéen la.
jinax,[ɉinʌx],nom,,
jinné,[ɉin:e],nom,"être surnaturel bon ou mauvais, génie, esprit",Jinné yi ñoo ko jàpp.
jiwu,[ɉiwu],nom,semences,Génne naa sama jiwu déwén.
jiiñ,[ɉi:ɲ],verbe,accuser quelqu’un de quelque chose,Daf maa jiiñ sàcc.
jiit,[ɉi:t],nom,scorpion,Jiit dafay fett.
jiit,[ɉi:t],verbe transitif,,
jiital,[ɉi:tʌl],verbe transitif,"mettre à l’avant, choisir comme dirigeant",Yaw lanu jiital.
jiité,[ɉi:te],verbe transitif,"diriger, prendre la tête de","Góor gii, mooy jiité sunu jàkka."
jiitu,[ɉi:tu],verbe transitif,"précéder, devancer",Maa ngi leen di jiitu ndax damay jàdd.
jiix,[ɉi:x],verbe intransitif,,
jodd /né/,[ɉɔd:],coverbe,être d’une verticalité absolue,Mu ngi né jodd ci ëtt bi.
joggi,[ɉɔg:i],verbe transitif,piétiner,"Joggi nga ma, te niwuloo ma baal ma."
jolof,[ɉɔlɔf],nom,"province sénégalaise située au nord-ouest, limitrophe du kajoor","Man, jolof laa jógé."
jolu,[ɉɔlu],verbe transitif,"boire d’un trait, à cul sec","Jolu na butéel bi, dara desu ci."
jom,[ɉɔm],nom,"amour-propre, sens de l’honneur",Amuloo jom.
jomlu,[ɉɔmlu],verbe intransitif,"s’aggraver à la suite de l’application d’une thérapeutique inadéquate, être allergique à","Sa góom bi dafa jomlu, loo ci def ?"
jomlu,[ɉɔmlu],verbe transitif,avoir honte de,Jomlu naa ko.
jommi,[ɉɔm:i],verbe,être en proie à une vision hallucinatoire,Boo bàyyiwul génn guddi danga jommi.
jomb,[ɉɔmb],verbe,répugner à,Jomb naa sàcc.
jong,[ɉɔŋg],verbe intransitif,être circoncis,Sama caat jong na démb.
jongama,[ɉɔŋgʌmʌ],verbe,être belle en parlant de la femme,Xale bii dafa jongama.
jongama,[ɉɔŋgʌmʌ],nom,"belle femme, jeune femme",Jongama laa takk.
jonj,[ɉɔŋɉ],verbe transitif,"frotter énergiquement, récurer",Leget dañu ko wara jonj ba mu set.
jonkon,[ɉɔŋkɔn],verbe intransitif,s’accroupir,Mag du jonkon.
jonkon,[ɉɔŋkɔn],nom,selles,Jonkonu xale bi dafa tooy.
jonqóob,[ɉɔŋqo:b],nom,,
joñ,[ɉɔɲ],verbe transitif,lier les mains au,Sàcc dañu koy joñ.
jot,[ɉɔt],verbe transitif,"obtenir, recevoir",Jot naa ci mandaa bi.
jot,[ɉɔt],nom,"temps, loisir","Bëggoon naa la seetsi, waaye awma woon jot."
jote,[ɉɔte],verbe transitif,"avoir affaire avec quelqu’un, avoir des relations",Lu ngeen jote ba di xeex ?
jote,[ɉɔte],nom,"relation, démêlé",Sunub jote yàgg na.
jottali,[ɉɔt:ʌli],verbe transitif,"transmettre, servir d’intermédiaire",Jottali ma sama mbubb.
jox,[ɉɔx],verbe transitif,donner,Jox ma kayit wi ci kow taabal ji.
joxoñ,[ɉɔxɔɲ],verbe,"montrer du doigt, mettre à l’index","Xoolal fi ma joxoñ, foofu ngay jaar."
joy,[ɉɔj],verbe,"être incliné, être penché, être prêt à tomber",Néeg bi joy na.
joola,[ɉɔ:lʌ],nom,nom d’une ethnie de Casamance,Joolaa yi yàgg nañu bey ceeb.
joor,[ɉɔ:r],nom,plaine sablonneuse,Fas waa ngi sonne ca joor ga.
joow,[ɉɔ:w],verbe transitif,"ramer, pagayer, balancer",Joowal gaal gi ndax nu gaawa yegg.
joow,[ɉɔ:w],nom,"rame, pagaie",Demal mu abal ma ab joow.
jooy,[ɉɔ:j],verbe intransitif,"pleurer, gémir, se lamenter, grouiller en parlant du ventre, laisser couler la sève, crier en parlant de certains animaux",Yaay ! sa doom a ngi jooy.
jooy,[ɉɔ:j],nom pluriel,pleurs,Jooy ya metti nañu lool ca kër ga mu dee.
jóg,[ɉog],verbe intransitif,se lever,Jógal jox ma toogu bi.
jógé,[ɉoge],verbe intransitif,"venir de, provenir, partir de",Jógé na fi sànq.
jóolóoli,[ɉo:lo:li],nom,"coche, clochette","Bu jóolóoli bi tëggée, ngéen dugg."
jóor,[ɉo:r],verbe transitif,"mettre en tas, entasser, accumuler",Jóoral doj yi fii.
jub,[ɉub],verbe,"être droit, honnête, juste",Rëdd wi jub na xocc.
jubal,[ɉubʌl],verbe intransitif,"aller directement, aller droit","Xaleel bu ñu ko yónnee, dafa wara jubal."
jubale,[ɉubʌle],verbe transitif,réconcilier,Jubale naa leen ñoom ñëpp.
jubóo,[ɉubo:],verbe intransitif,"se réconcilier, s’entendre, se mettre d’accord","Ba nu waxtaanee, la nu jubóo."
jubu,[ɉubu],verbe intransitif,"être dans la trajectoire, être bien placé par rapport à quelqu’un",Ubal palanteer bi yow la gën a jubu.
jubb,[ɉub:],nom,"touffe de cheveux laissée sur la tête, tresse de cheveux",Wat nañu jubbam.
juddu,[ɉud:u],verbe intransitif,naître,Kañ nga juddu ?
juddu,[ɉud:u],nom,"naissance, bonne naissance",Ku am juddu la.
jukki,[ɉuk:i],verbe transitif,extraire,Jukki naa baag bi ci teen bi.
jukki,[ɉuk:i],nom,extrait,Jàng na ñaari jukki ci Kaamil bi.
jula,[ɉulʌ],verbe intransitif,colporter des marchandises,"Dafa doon jula, waaye léegi daanu na."
julli,[ɉul:i],nom,religion,
julli,[ɉul:i],verbe intransitif,religion,Julli naa timis.
jullit,[ɉul:it],nom,religion,Jullit yi duñu naan sangara.
jullité,[ɉul:ite],adjectif,,Dafa jullité du tooñ ken.
jum,[ɉum],nom,bâtiment,Boo xaddee banoppi defal jum bu rafet.
jumaa,[ɉuma:],nom,mosquée principale où ont lieu les grandes prières,Jumaa ja la ñuy mayee sama doom.
jumaay,[ɉuma:j],nom,,
jumtukaay,[ɉumtuka:j],nom,"instrument, outil",Jëfëndikóo léen jumtukaay yu bees yi.
jummi,[ɉum:i],verbe transitif et intransitif,,
jumbax,[ɉumbʌx],nom,nombril,Jumbax bi wér na.
jumbux,[ɉumbux],nom,,
junne,[ɉun:e],numéral,,
junni,[ɉun:i],numéral,mille,
junni,[ɉun:i],nom,cinq mille francs,Junni bii dafa xottiku.
junj,[ɉuŋɉ],verbe transitif,faire allusion,Waxu ma ni dey tukki waaye junj na ko.
junki,[ɉuŋki],verbe,être renflé,"Poos bi junki na, xawma li ci nekk."
junqóob,[ɉuŋqo:b],nom,crabe de terre (Kuppu-kala à Saint-Louis),Njaag yi dañuy jaay junqóob.
jur,[ɉur],verbe transitif,"engendrer, produire, avoir pour conséquence",Ku la jur ?
jur,[ɉur],nom,bétail,Jur gi wetti na.
juróom,[ɉuro:m],numéral,cinq,Jëndal juróomi kilo ceeb.
juug,[ɉu:g],verbe transitif,"mettre en tas, entasser",Juug na fi xeer yu bare.
juug,[ɉu:g],nom,tas,Juugu ngooñ bu réy laa jënd.
juum,[ɉu:m],verbe intransitif,"se tromper, faire une faute","Dama juum, du foofu."
juun-juuni,[ɉu:nɉu:ni],verbe transitif,"bouger constamment, avoir la bougeotte",Looy juun-juuni ni ku yàkkamtee dem ?
juuy,[ɉu:j],verbe transitif,"éviter, esquiver","Dama ko juuy, mu daanu."
juuy,[ɉu:j],nom,tournant,"Boo demee ba juuy ba, nga taxaw."
juuyóo,[ɉu:jo:],verbe intransitif,"aller en sens inverse, l’un par rapport à l’autre, se manquer mutuellement, être en désaccord",Dama ko seetsiwoon nu juuyóo.
kabiné,[kʌbine],nom,"lieux d’aisance, toilette, cabinet",Duggal ci kabiné bi.
kaf,[kʌf],verbe intransitif,plaisanter,Dama doon kaf ag moom mu mer.
kaf,[kʌf],nom,plaisanterie,"Bàyyil sa kaf googu, neexu ma."
kafe,[kʌfe],nom,"café, caféier",Ndax dinga naan kafé ?
kajoor,[kʌɉɔ:r],nom,"province sénégalaise située à l’ouest, limitrophe du Baol",Lat Joor mas na doon boroom Kajoor.
kal-kali,[kʌlkʌli],verbe intransitif,branler,Sama bëñ a ngiy kal-kali.
kalaame,[kʌla:me],verbe transitif,"porter plainte, faire une réclamation",Mbaa kalaamewu la ?
kallentaan,[kʌl:enta:n],nom,un tout petit peu,Tuuti kallentaan laa ko ci may.
kamaj /né/,[kʌmʌɉ],coverbe,éteindre ou s’éteindre d’un coup,Né ko kamaj te dem.
kamaate,[kʌma:te],nom,"tomates, concentré de tomates",Demal jëndal ko kamaate.
kamisol,[kʌmisɔl],nom,robe traditionnelle ample,Ñawagoo sama kamisol bi ba-tey ?
kan,[kʌn],nom,trou,Kan mi yaa na.
kanam,[kʌnʌm],nom,"face, figure, visage, façade, devanture, futur, avenir","Sa kanam gi setul, demal sëlmuji."
kañ,[kʌɲ],interrogatif,quand ? depuis quand ?,Kañ nga ñów Ndakaaru ?
kaña,[kʌɲʌ],nom,"gros rat, surmulot",Kaña gi dugg na ci pax mi.
kañaan,[kʌɲa:n],nom,jalousie,Kañaanam dina ko defloo lu mu bëggula def.
kar,[kʌr],verbe transitif,bloquer quelqu’un,Dafa ko kar ca buntu bànk ba.
karmat,[kʌrmʌt],verbe intransitif,"manquer involontairement, pendant le mois de Ramadan, de prendre le repas de l’aube",Damaa biddënti ba karmat.
karoot,[kʌrɔ:t],nom,botanique,"Boo demee ja ba, jëndal karoot."
kasag,[kʌsʌg],verbe intransitif,chanter pour les circoncis,Maa ngi kasagi.
kasag,[kʌsʌg],nom pluriel,chants pour les circoncis,Kasag yi neex nañu.
kaso,[kʌsɔ],nom,"cachot, prison",Masula dugg kaso ci dundam.
kastiloor,[kʌstilɔ:r],nom,casserole,Loo jëndé sa kastiloor bi ?
kat,[kʌt],conjonction,marque l’insistance,"Man kat, mënuma fey léegi."
kawar,[kʌwʌr],nom,"cheveu, poil",Wat na kawaram gépp.
kawas,[kʌwʌs],nom,chaussette,Sama kawas dafa bëtt.
kawdir,[kʌwdir],nom,,
kay,[kʌj],conjonction,marque l’insistance,Moom kay jaaxal na ma.
kayit,[kʌjit],nom,"papier, billet",May ma kayit ma bind leetar.
kayitloo,[kʌjitlɔ:],verbe transitif,"prendre quelqu’un pour un jouet, se moquer de",Duma nangu nga di ma kayitloo.
kàbbar,[kab:ʌr],verbe intransitif,commencer la prière musulmane,Yélimaan kàbbar na.
kàcc,[kac:],nom,lait caillé aigre,Kàcc soow mu wex la.
kàcci,[kac:i],verbe intransitif,mentir effrontément,"Waxul dëgg, dafay kàcci."
kàcciri,[kac:iri],verbe transitif,fouetter,Boo ko kàcciree mu bàyyi saw lal.
kàcciri,[kac:iri],nom,"collier en cuir tressé pour retenir les gris-gris. Lanière, cordelette pour frapper","Kàcciri gi dafa dog, téeré yi rocciku."
kàdd,[kad:],nom,"kad, acacia albida",Xar yi bëgg nañu doomi kàdd.
kàdd /né/,[kad:],coverbe,être raide,Mu ngi né kàdd ni ku dee.
kàddir,[kad:ir],nom,marmite ou son contenu,Ndaw si sotti na dëwlin ji ci kàddir gi.
kàddu,[kad:u],nom,"parole, mot, sentence, avis, instruction",Sa kàddu doyu ma.
kàggu,[kag:u],nom,"meuble renfermant des livres, bibliothèque",Bii téeré ci sama kàggu baay laa ko jëlé.
kàmb,[kamb],nom,"creux, fossé",Kàmb gi xóot na.
kàmp,[kamp],nom,"miche, pain en boule",Kàmp baré na ñóox.
kànnaar,[kan:a:r],nom,cadenas,Jox ma kànnaar bi.
kàndaama,[kanda:mʌ],verbe intransitif,monter à un tronc à l’aide d’une courroie autour des hanches,"Dafa doon kàndaama, faf daanu."
kàndaama,[kanda:mʌ],nom,grosse courroie en branches de palmier à l’aide de laquelle on monte au sommet des palmiers pour en recueillir la sève,Demal mu abal ma kàndaama.
kàngam,[kangʌm],nom,dignitaire d’un royaume,Balaa def dara dajale kàngami réew mépp.
kànja,[kaɲɉʌ],nom,gombo (Hibiscus esculentus),Soosu kànja dafa rattax.
kànkuraŋ,[kaŋkurʌŋ],nom,danse mandigue,Maa ngi seetani kànkuraŋ ja.
kànkuraŋ,[kaŋkurʌŋ],nom,danseur,Gis naa kànkuraŋ bu raglu.
kàttan,[kat:ʌn],nom,"force, énergie, possibilité","Mag la, kàttanam bareetul."
kaaba,[ka:bʌ],nom,temple sacré de la Mecque,Wër naa Kaaba ga juróom ñaari yoon.
kaaf,[ka:f],nom,cage,Dugalal picc mi ci kaaf gi.
kaaf,[ka:f],verbe intransitif,emprisonner,Dafa sàcc ñu kaaf ko.
kaala,[ka:lʌ],nom,turban,Kaala gu gudd mën na wuutu mbaxana.
kaala,[ka:lʌ],verbe transitif,mettre un turban à quelqu’un,Kaay ma kaala la.
kaamil,[ka:mil],nom,le Coran,Tari na kaamil bépp.
kaamir,[ka:mir],verbe,être complet,Weer wi kaamir na.
kaani,[ka:ni],nom,piment,Kaani-xeeñ gi saf na.
kaaŋ,[ka:ŋ],nom,boîte crânienne humaine,Kaaŋ mi moo toj.
kaar,[ka:r],interjection,"souvent utilisée pour atténuer, par superstition, l’effet malfaisant pouvant découler d’une appréciation élogieuse",Rafet na lool kaar.
kaarité,[ka:rite],nom,"karité, beurre végétal provenant d’une sapotacée du Mali",Diwu kaarité baax na ci yaram.
kaas,[ka:s],nom,tasse,Xale bi toj na kaas bi mu yoroon.
kaasamaas,[ka:sʌma:s],nom,"Casamance : région située à l’extrême sud du Sénégal, limitrophe de la Guinée Bissau",Njëgu diwu-tiir yomb na kasamaas.
kaay,[ka:j],verbe intransitif,ne s’emploie qu’à l’impératif viens !,Kaayleen !
kekk,[kek:],nom,sol dur,Kekk neexula bey.
kel,[kel],nom,espèce d’arbre à bois très dur (Grevia bicolor),Yetu kel la ame.
kelifa,[kelifʌ],nom,,
kemb,[kemb],nom,arachide décortiquée et triée,Kemb gi barewul i sax.
kenkiliba,[keŋkilibʌ],nom,"quinquéliba. Combrétacée fébrifuge d’Afrique Occidentale, employé en décoction (combretum mieranthum)",
kenkiliba,[keŋkilibʌ],nom,infusion de quinquéliba,Kenkiliba bu tàng baax na ci sëqat.
keŋŋ /né/,[keŋ:],coverbe,sonner,"Bu midi née keŋŋ, nga ñów."
kepp,[kep:],verbe,"pincer, coincer",Bunt bi kepp na ma.
kepp,[kep:],adverbe,"seul, tout juste",Moom kepp moo bañ.
keppaar,[kep:a:r],nom,ombre projetée par une maison,Keppaar gi féex na.
keppu,[kep:u],nom,pince à linge,Sér bi ñaari keppoo ko téyé ci liiñ gi.
ker,[ker],nom,ombre,Lalal ndés mi ci keru garab gi.
keroog,[kerɔ:g],adverbe,l’autre jour,Tase naag moom keroog.
kersa,[kersʌ],nom,"pudeur, retenue, déférence, politesse",Xale bu am kersa du saaga ci-kanamuy mag.
kes,[kes],interjection,employée pour chasser la volaille,Kes ! kes !
kew,[kew],nom,argile blanche,Ndaa li kew la ñu ko tabaxe.
keww /né/,[kew:],coverbe,être tout yeux tout oreilles,Xale baa ngi né keww.
kéwél,[kewel],nom,"antilope, biche",Béjjanu kéwél dafa gudd.
këcc,[kəc:],coverbe,"être très (solide, dur)",Yàpp wi dafa dégër këcc.
këccu,[kəc:cu],nom,quenouille,Abal ma sa këccu.
