mot_vedette,prononciation,catégorie_grammaticale,ex_wol,ex_fra
gapparu,[gʌp:ʌru],verbe,,
gar,[gʌr],,,
gar,[gʌr],nom,,
gar,[gʌr],verbe,,
garaandiir,gɐra:ndi:r,,,
garaaw,,,,
garaawal,,,,
garab,gɐrɐb',,,
garab,[gʌrʌb],nom,,
garaη,,,,
garbo,gɐrbɔ,,,
garees,gɐrɛ:s,,,
garey,gɐrɛj,,,
garey,[gʌrej],nom,,
gargamboose,gɐrgɐmbɔ:sɛ,,,
garmbaasu,,,,
garmi,gɐrmi,,,
garmi,[gʌrmi],nom,,
garxàll,gɐrxalᵊ,,,
gas,[gʌs],,,
gasax,gɐsɐx,,,
gasukaay,gɐsuka:j,,,
gat,gɐt',,,
gatandu,gɐtɐndu,,,
gati,gɐti,,,
gàtt,gatʰ,,,
gàtt,[gat:],verbe,,
gàttaay,gat:a:j,,,
gàttal,gat:ɐl,,,
gattax,gɐt:ɐx,,,
gàtteñ,,,,
gàtteñlu,gat:ɛɲlu,,,
gàtt-geen,gatʰgɛ:n',,,
gaw,gɐw,,,
gawar,gɐwɐr,,,
gawlo,gɐwlɔ,,,
gayet,gɐjɛt',,,
gaynde,gɐjndɛ,,,
gaynde,[gʌjnde],nom,,
gaynde-géej,gɐjndɛge:ɟ',,,
gaynóoki,gɐjno:ki,,,
gàyy,,,,
gàηη,gaŋᵊ,,,
gebat,,,,
gëbla,,,,
gecc,gɛcʰ,,,
gecci,,,,
gedd,gɛdᵊ,,,
gedd,[ged:],verbe,,
gédd,,,,
gëdd,gədᵊ,,,
gëdd,[gəd:],verbe,,
gëddë,gəd:ə,,,
gëddë,[gəd:ə],nom,,
gede,,,,
gee,gɛ:,,,
gee,[ge:],nom,,
geeb,gɛ:b',,,
géej,ge:ɟ',,,
géej,[ge:ɉ],nom,,
geen,gɛ:n',,,
geen,[ge:n],nom,,
geer,[ge:r],nom,,
géer,ge:r,,,
géer,[ge:r],nom,,
géeru juddu,ge:ruɟud:u,,,
geestu,gɛ:stu,,,
geestu,[ge:stu],verbe,,
geesu,gɛ:su,,,
geesu,[ge:su],verbe,,
geet,gɛ:t',,,
geet,[ge:t],verbe,,
géew,ge:w,,,
géew,[ge:w],nom,,
geewe,gɛ:wɛ,,,
géex,ge:x,,,
géex,[ge:x],verbe,,
géey,gé:j,,,
gëf,,,,
geg,gɛg',,,
gegenaayu,,,,
gegenal,,,,
gegenu,,,,
géj,geɟ',,,
gëj,gəɟ',,,
gëj,[gəɉ],verbe,,
gejaf,gɛɟɐf,,,
gejafal,gɛɟɐfɐl,,,
gëje,,,,
gejj,gɛɟᵊ,,,
gejj,[geɉ:],nom,,
gejj,[geɉ:],verbe,,
géjj,geɟᵊ,,,
géjjën,,,,
gëjjëx-gëjjëxi,gəɟ:əxgəɟ:əxi,,,
gëkk,,,,
gel,,,,
gël,gəl,,,
gël,[gəl],nom,,
gelaw,gɛlɐw,,,
gelaw,[gelʌw],verbe,,
géléem,gele:m',,,
gëleem,,,,
gëléem,gəlé:m',,,
gëléem,[gəle:m],nom,,
gëléemu,gəle:mu,,,
géléemu-maam-yàlla,gele:muma:mjal:ɐ,,,
gélém,,,,
gëlëm,gələm',,,
gëlëm,[gələm],verbe,,
gëlëmal,gələmɐl,,,
gëlëmloo,gələmlɔ:,,,
gelli,,,,
gellwaar,gɛl:wa:r,,,
gellwaar,[gel:wa:r],nom,,
gelte,,,,
gelu,gɛlu,,,
gelu,[gelu],verbe,,
gëm,gəm',,,
gëm,[gəm],verbe,,
gembu,,,,
gëmm,gəmᵊ,,,
gëmm,[gəm:],verbe,,
gëmmeentu,,,,
gëmméentu,gəm:e:ntu,,,
gëmméentu,[gəm:e:ntu],verbe,,
gémmeñ,gem:ɛɲ',,,
gëmmentu,gəm:ɛntu,,,
gémmeñu,gem:ɛɲu,,,
gëmm-gëmmlu,gəmᵊgəm:lu,,,
gémmiñ,gem:iɲ',,,
gémmiñ,[gem:iɲ],nom,,
gémmiñu,gem:iɲu,,,
gémmiñu,[gem:iɲu],verbe,,
gën,gən',,,
gën,[gən],verbe,,
gëñ,gəɲ',,,
genaar,gɛna:r,,,
gënale,gənɐlɛ,,,
genbatu,,,,
géndël,gendəl,,,
gene,,,,
gëne,,,,
gëneel,,,,
gënël,,,,
gëngu,,,,
genn,,,,
génn,genᵊ,,,
génn,[gen:],verbe,,
gënn,gənᵊ,,,
gënn,[gən:],nom,,
génnaliku,gen:ɐliku,,,
génne,gen:ɛ,,,
génné,[gen:e],verbe,,
genn-wàll,gɛnᵊwalᵊ,,,
genn-wàll,[gen:wal:],nom,,
geño,,,,
geño,[geɲɔ],nom,,
gent,gɛntʰ,,,
gent,[gent],nom,,
gént,[gent],,,
gént,[gent],nom,,
gental,gɛntɐl,,,
gental,[gentʌl],verbe,,
gënu-gënu,gənugənu,,,
gépp,,,,
gëpp,,,,
gëq,gəq',,,
gëq,[gəq],verbe,,
ger,gɛr,,,
ger,[ger],verbe,,
gér,,,,
gerees,gɛrɛ:s,,,
gereew,gɛrɛ:w,,,
gërëm,gərəm',,,
gërëm,[gərəm],verbe,,
gerew,[gerew],nom,,
gerew,[gerew],verbe,,
gërëw,,,,
gerte,gɛrtɛ,,,
gerte,[gerte],nom,,
gerte-caaf,gɛrtɛca:f,,,
gerte-mbaxal,gɛrtɛmbɐxɐl,,,
gerte-tubaab,gɛrtɛtuba:b',,,
gerte-tubaab,[gerte tuba:b],nom,,
gës,gəs,,,
gës,[gəs],verbe,,
gësëm,gəsəm',,,
gësëm,[gəsəm],verbe,,
gëstu,gəstu,,,
gëstu,[gəstu],verbe,,
gëstukat,,,,
get,gɛt',,,
gét,get',,,
gét,[get],verbe,,
gët,gət',,,
gétën,getən',,,
gétën,[getən],verbe,,
gëtën,gətən',,,
gëti,,,,
gétt,getʰ,,,
gétt,[get:],nom,,
gëtt,,,,
géttan,get:ɐn',,,
gët-xeeñ,gətxɛ:ɲ',,,
gew,,,,
gewal,,,,
géwal,gewɐl,,,
géwal,[gewʌl],nom,,
géwalu juddu,gewɐluɟud:u,,,
gewel,,,,
gewël,,,,
géwél,gewel,,,
géwél,[gewel],nom,,
gey,,,,
géy,,,,
gicc,gicʰ,,,
gif,gif,,,
gigis,,,,
giif,gi:f,,,
giif,[gi:f],verbe,,
giigal,gi:gɐl,,,
giigan,,,,
giijal,,,,
giil,,,,
giim,gi:m',,,
giim,[gi:m],verbe,,
giiñ,[gi:ɲ],verbe,,
giir,gi:r,,,
giir,[gi:r],nom,,
giiroo,gi:rɔ:,,,
giiru,gi:ru,,,
giiru-dund,gi:rudundᵊ,,,
giiru-dund,[gi:rudund],nom,,
giix,gi:x,,,
giix,[gi:x],verbe,,
gil,gil,,,
gilaawaali,gila:wa:li,,,
gile,,,,
giléem,giléem',,,
giléem,[gile:m],nom,,
gilli,gil:i,,,
gilli,[gil:i],verbe,,
gillit,gil:it',,,
gillit,[gil:it],nom,,
gimmi,gim:i,,,
gimmi,[gim:i],verbe,,
giñ,giɲ',,,
giñ,[giɲ],verbe,,
ginaar,gina:r,,,
ginaar,[gina:r],nom,,
gindi,gindi,,,
gindiliku,gindiliku,,,
ginnaaw,gin:a:w,,,
ginnaaw,[gin:a:w],nom,,
ginnax,,,,
gir,,,,
giri,giri,,,
giriyaas,girija:s,,,
gis,gis,,,
gis,[gis],nom,,
gis,[gis],verbe,,
gisaane,gisa:nɛ,,,
gisaane,[gisa:ne],nom,,
gisaane,[gisa:ne],verbe,,
gisaanekat,gisa:nɛkɐt',,,
gise,gisɛ,,,
gise,[gise],verbe,,
gis-gis,gisgis,,,
gis-gis,[gisgis],nom,,
gitim,gitim',,,
gittax,git:ɐx,,,
gitti,git:i,,,
giy,,,,
giyaan,,,,
gobar,gɔbɐr,,,
gobar,[gɔbʌr],nom,,
gobar-jaasi,,,,
gobbati,,,,
gobbi,gɔb:i,,,
goblet,gɔblɛt',,,
gog,,,,
goj,gɔɟ',,,
goj,[gɔɉ],nom,,
golñàdd,gɔlɲadᵊ,,,
golo,gɔlɔ,,,
golo,[gɔlɔ],nom,,
gom,gɔm',,,
gom,[gɔm],nom,,
gome,,,,
gon,gɔn',,,
gone,gɔnɛ,,,
gone,[gɔne],nom,,
gong,gɔŋgᵊ,,,
gonga,,,,
gongo,gɔŋgɔ,,,
gongo,[gɔŋgɔ],nom,,
gon-lal,gɔnlɐl,,,
gonnal,gɔn:ɐl,,,
gont,gɔntʰ,,,
gont,[gɔnt],verbe,,
gontu,,,,
gontusi,,,,
goŋ,gɔŋ',,,
goŋet,,,,
goŋŋ,gɔŋᵊ,,,
góob,go:b',,,
góob,[go:b],verbe,,
goog,,,,
gool,gɔ:l,,,
góol,,,,
góoli,,,,
góolu,,,,
goom,,,,
góom,go:m',,,
góom,[go:m],nom,,
gooñ,,,,
goor,gɔ:r,,,
góor,go:r,,,
góor,[go:r],nom,,
góor,[go:r],verbe,,
góorayiw,go:rɐjiw,,,
góorayiw,[go:rʌjiw],verbe,,
góor-góorlu,go:rgo:rlu,,,
góor-góorlu,[go:rgo:rlu],verbe,,
goorlu,,,,
gooro,gɔ:rɔ,,,
góortu,go:rtu,,,
góor-xaraasi,go:rxɐra:si,,,
goos,,,,
goow,,,,
goowe,gɔ:wɛ,,,
goox,,,,
góox,go:x,,,
gooy,,,,
gopp,gɔpʰ,,,
gopp,[gɔp:],nom,,
goqi,gɔqi,,,
gor,gɔr,,,
gor,[gɔr],nom,,
gor,[gɔr],verbe,,
gore,gɔrɛ,,,
gore,[gɔre],nom,,
gore,[gɔre],verbe,,
goreedi,gɔrɛ:di,,,
goreel,gɔrɛ:l,,,
gori,,,,
goro,gɔrɔ,,,
goro,[gɔrɔ],nom,,
goroŋ,gɔrɔŋ',,,
goroon,,,,
gortal,,,,
gos,,,,
gosaas,gɔsa:s,,,
gosam,,,,
gósi,gosi,,,
gott,gɔtʰ,,,
gott,[gɔt:],nom,,
gox,gɔx,,,
gox,[gɔx],nom,,
goy,,,,
gub,gub',,,
gub,[gub],nom,,
gub,[gub],verbe,,
gubar,gubɐr,,,
gubar,[gubʌr],nom,,
gubi,,,,
gubur,,,,
gudd,gudᵊ,,,
gudd,[gud:],verbe,,
guddaay,gud:a:j,,,
guddal,gud:ɐl,,,
guddee,gud:ɛ:,,,
guddée,[gud:e:],verbe,,
guddi,gud:i,,,
guddi,[gud:i],nom,,
guddi,[gud:i],verbe,,
gufat,,,,
gug,,,,
gugg,,,,
gujumba,guɟumbɐ,,,
guléet,gule:t',,,
gum,,,,
gumba,gumbɐ,,,
gumba,[gumbʌ],nom,,
gumba,[gumbʌ],verbe,,
gumba-xóll,gumbɐxolᵊ,,,
gumbe,gumbɛ,,,
gumbé,[gumbe],nom,,
gumbé,[gumbe],verbe,,
gumbó,[gumbo],nom,,
gumméen,gum:e:n',,,
gump,gumpʰ,,,
gu-ne,gunɛ,,,
gune,gunɛ,,,
gune,[gune],nom,,
gu-nekk,gunɛkʰ,,,
gunge,guŋgɛ,,,
gungé,[guŋge],verbe,,
gunóor,guno:r,,,
gunóor,[guno:r],nom,,
guŋ,guŋ',,,
gupp,gupʰ,,,
gur,,,,
gura,,,,
gureet,gurɛ:t',,,
gurmet,gurmɛt',,,
gurmet,[gurmet],nom,,
guro,gurɔ,,,
guró,guro,,,
guró,[guro],nom,,
guru,guru,,,
gutë,gitə,,,
gutt,gutʰ,,,
gutt,[gut:],nom,,
guuj,gu:ɟ',,,
guujal,gu:ɟɐl,,,
guujal,[guɉ:ʌl],verbe,,
guum,gu:ɟɐl,,,
guum,[gu:m],verbe,,
guus,gu:s,,,
guus,[gu:s],verbe,,
guute,,,,
guutuut,gu:tu:t',,,
guux,gu:x,,,
guux,[gu:x],nom,,
guux,[gu:x],verbe,,
guy,guj,,,
guy,[guj],nom,,
guyaab,guja:b',,,
guyy,gujᵊ,,,
guyy,[guj:],coverbe,,
ibliis,ʔibli:s,nom,,
Ibliis,[ibli:s],nom,,
idda,ʔid:ɐ,,,
idda,[id:ʌ],nom,,
ii,[i:],interjection,,
ijj,[iɉ:],verbe,,
ijji,[iɉ:i],verbe,,
ilif,ʔilif,,,
ilif,[ilif],verbe,,
ilimaan,,,,
ilimaan,[ilima:n],nom,,
illa,ʔil:ɐ,nom,,
illeer,ʔil:ɛ:r,,,
illéer,ʔil:e:r,,,
illéer,[il:e:r],nom,,
imbi,,,,
iñaan,ʔiɲa:n',,,
indaale,[inda:le],verbe,,
inde,ʔindɛ,nom,,
indé,[inde],nom,,
indi,[indi],verbe,,
iññaan,ʔiɲ:a:n',,,
iññati,,,,
insàllaa,ʔinsal:a:,,,
is,ʔis,,,
isal,ʔisɐl,,,
isi,ʔisi,verbe,,
isin,ʔisin',,,
isin,[isin],nom,,
iskale,ʔiskɐlɛ,,,
islaam,,,,
it,ʔit',,,
it,[it],adverbe,,
itam,ʔitɐm',,,
itam,[itʌm],adjectif,,
itt,ʔitʰ,,,
itt,[it:],verbe,,
itte,ʔit:ɛ,,,
itté,[it:e],nom,,
itteel,?it:ɛ:l,,,
ja,ɟɐ,,,
ja,[ɉʌ],nom,,
ja,[ɉʌ],verbe,,
jaa,,,,
jaab,ɟa:b',verbe,,
jaabaar,ɟa:ba:r,,,
jaabal,ɟa:bɐl,verbe,,
jaabante,ɟa:bɐntɛ,verbe,,
jaabil,,,,
jaadu,ɟa:du,adjectif,,
jaadu,[ɉa:du],verbe,,
jaaf,ɟa:f,nom,,
jaag,ɟa:g',nom,,
jaagumbaan,,,,
jaajëf,ɟa:ɟəf,,,
jaal,ɟa:l,,,
jaal,[ɉa:l],nom,,
jaal,[ɉa:l],verbe,,
jaalawaali,,,,
jaale,ɟa:lɛ,,,
jaale,[ɉa:le],verbe,,
jaaloo,ɟa:lɔ:,verbe,,
jaam,[ɉa:m],nom,,
jaamaarloo,ɟa:ma:rlɔ:,,,
jaambaar,ɟa:mba:r,nom,,
jaambur,ɟa:mbur,,,
jaambur,[ɉa:mbur],nom,,
jaame,,,,
jaam-sayóor,ɟa:msɐjo:r,,,
jaamu,ɟa:mu,verbe,,
jaan,[ɉa:n],nom,,
jaanama,ɟa:nɐmɐ,nom,,
jaanu-géej,ɟa:nuge:ɟ',nom,,
jaaŋ,ɟa:ŋ',,,
jaar,[ɉa:r],nom,,
jaar,[ɉa:r],verbe,,
jaaraale,ɟa:ra:lɛ,verbe,,
jaaraama,ɟa:ra:mɐ,,,
jaaraamaal,ɟa:ra:ma:l,verbe,,
jaarale,ɟa:rɐlɛ,verbe,,
jaar-jaar,ɟa:rɟa:r,nom,,
jaaro,[ɉa:rɔ],nom,,
jaaro,ɟa:ru,verbe,,
jaaru,[ɉa:ru],nom,,
jaaru,[ɉa:ru],verbe,,
jaarukaay,ɟa:ruka:j,nom,,
jaas,ɟa:s,,,
jaasi,[ɉa:si],nom,,
jaasir,ɟa:sir,adjectif,,
jaasir,[ɉa:sir],verbe,,
jaas /né/,[ɉa:s],coverbe,,
jaat,[ɉa:t],nom,,
jaawaatle,ɟa:wa:tlɛ,verbe,,
jaawale,[ɉa:wʌle],verbe,,
jaaxaan,ɟa:xa:n',adjectif,,
jaaxaan,[ɉa:xa:n],verbe,,
jaaxal,ɟa:xɐl,adjectif,,
jaaxal,[ɉa:xʌl],verbe,,
jaaxle,ɟa:xlɛ,,,
jaaxle,[ɉa:xle],verbe,,
jaay,[ɉa:j],verbe,,
jaayaan,ɟa:ja:n',,,
jaayaatu,ɟa:ja:tu,,,
jaayil,ɟa:jil,,,
jaaykat,ɟa:jkɐt',nom,,
jaayu,ɟa:ju,,,
jabar,ɟɐbɐr,,,
jabar,[ɉʌbʌr],nom,,
jabb,,,,
jabbtu,,,,
jabe,ɟɐbɛ,,,
jaboot,ɟɐbɔ:t',,,
jaboot,[ɉʌbɔ:t],nom,,
jaboot,[ɉʌbɔ:t],verbe,,
jabraan,ɟɐbra:n',,,
jabraankat,ɟɐbra:nkɐt',,,
jadd,ɟɐd:ᵊ,,,
jàdd,ɟadᵊ,,,
jàdd,[ɉʌd:],verbe,,
jaddiiral,,,,
jadd-jaddi,ɟɐd:ᵊɟɐd:i,,,
jadd /né/,[ɉʌd:],coverbe,,
jàddukaay,ɟad:uka:j,,,
jafal,[ɉʌfʌl],verbe,,
jafandiku,ɟɐfɐndiku,,,
jafandiku,[ɉʌfʌndiku],verbe,,
jafandu,ɟɐfɐndu,,,
jafandu,[ɉʌfʌndu],verbe,,
jafe,ɟɐfɛ,adjectif,,
jafe,[ɉʌfe],verbe,,
jafe-jafe,ɟɐfɛɟɐfɛ,,,
jaflu,,,,
jafte,ɟɐftɛ,,,
jafur,ɟɐfur,,,
jafuur,ɟɐfu:r,,,
jag,ɟɐg',,,
jag,[ɉʌg],verbe,,
jaga,ɟɐgɐ,,,
jagadi,ɟɐgɐdi,,,
jagadi,[ɉʌgʌdi],verbe,,
jagal,ɟɐgɐl,,,
jagat,,,,
jàgg,,,,
jagle,,,,
jagleel,ɟɐglɛ:l,verbe,,
jajj,,,,
jàjj,ɟaɟᵊ,,,
jàjjanti,ɟaɟ:ɐnti,,,
jàjji,ɟaɟ:i,,,
jaju,,,,
jakk,,,,
jàkk,ɟakʰ,,,
jàkka,ɟak:ɐ,,,
jàkka,[ɉak:ʌ],nom,,
jàkkaarloo,ɟak:a:rlɔ:,,,
jàkkaarloo,[ɉak:a:rlɔ:],verbe,,
jàkkaarlu,ɟak:a:rlu,,,
jàkkeer,ɟak:ɛ:r,,,
jàkk /né/,[ɉak:],coverbe,,
jal,ɟɐl,,,
jal,[ɉʌl],nom,,
jal,[ɉʌl],verbe,,
jalaal,ɟɐla:l,,,
jalaan,,,,
jalam,ɟɐlɐm',,,
jalambaan,ɟɐlɐmba:n',,,
jalami,ɟɐlɐmi,,,
jalañ,ɟɐlɐɲ',,,
jalax,,,,
jalbati,ɟɐlbɐti,,,
jale,,,,
jalgandi,ɟɐlgɐndi,,,
jalgandiku,ɟɐlgɐndiku,,,
jalgati,ɟɐlgɐti,,,
jali,ɟɐli,,,
jal-jali,ɟɐlɟɐli,,,
jàll,ɟalᵊ,,,
jàll,[ɉal:],verbe,,
jàllaaba,ɟal:a:bɐ,,,
jàllaabi,ɟal:a:bi,,,
jallaañoo,ɟɐl:a:ɲɔ:,,,
jàllantu,,,,
jàllarbi,ɟal:ɐrbi,,,
jàllawle,ɟal:ɐwlɛ,,,
jàlle,ɟal:ɛ,,,
jaloore,ɟɐlɔ:rɛ,,,
jaloore,[ɉʌlɔ:re],nom,,
jam,ɟɐm',,,
jam,[ɉʌm],verbe,,
jamaale,ɟɐma:lɛ,,,
jamaale,[ɉʌma:le],nom,,
jamaale,[ɉʌma:le],verbe,,
jamano,ɟɐmɐnɔ,,,
jamano,[ɉʌmʌnɔ],nom,,
jamar,ɟɐmɐr,,,
jamat,ɟɐmɐt',,,
jamb,ɟɐmbᵊ,,,
jamb,[ɉʌmb],verbe,,
jàmb,ɟambᵊ,,,
jambaaje,ɟɐmba:ɟɛ,,,
jàmbaar,ɟamba:r,,,
jàmbaar,[ɉamba:r],nom,,
jàmbat,ɟambɐt',,,
jàmbat,[ɉambʌt],verbe,,
jàmb-jóob,ɟambᵊɟo:b',,,
jàmb-jóob,[ɉambɉo:b],nom,,
jàmb-suukar,ɟambᵊsu:kɐr,,,
jàmbu,ɟambu,,,
jàmbu,[ɉambu],verbe,,
jàmbur,,,,
jam-jam,ɟɐmɟɐm',,,
jam-jam,[ɉʌmɉʌm],nom,,
jamloro,,,,
jàmm,ɟamᵊ,,,
jàmm,[ɉam:],nom,,
jàmmaarloo,ɟam:a:rlɔ:,,,
jàmmante,ɟam:ɐntɛ,,,
jàmmoo,ɟam:ɔ:,,,
jam-naani,ɟɐmna:ni,,,
jamono,ɟɐmɔnɔ,,,
jamono,[ɉʌmɔnɔ],nom,,
jamoo,ɟɐmɔ:,,,
jamp,ɟɐmpʰ,,,
jàmsante,ɟamsɐntɛ,,,
jamu,ɟɐmu,,,
jamu,[ɉʌmu],verbe,,
jamuuj,,,,
jan,,,,
jañ,ɟɐɲ',,,
jana,ɟɐnɐ,,,
janaab,ɟɐna:b',,,
janaaba,ɟɐna:bɐ,,,
janaase,ɟɐna:sɛ,,,
janaase,[ɉʌna:se],nom,,
janax,ɟɐnɐx,,,
janax,[ɉʌnʌx],nom,,
jañax,ɟɐɲɐx,,,
janeer,ɟɐnɛ:r,,,
jang,ɟɐŋgᵊ,,,
jang,[ɉʌŋg],verbe,,
jàng,[ɉaŋg],,,
jàngal,ɟaŋgɐl,,,
jàngal,[ɉaŋgʌl],verbe,,
jàngale,[ɉaŋgʌle],,,
jàngalekat,,,,
jàngara,[ɉaŋgʌrʌ],nom,,
jàngin,,,,
jàngkat,,,,
jàngoro,ɟaŋgɔrɔ,,,
jàngoro,[ɉaŋgɔrɔ],nom,,
jàngu,ɟaŋgu,,,
janiiw,,,,
jànj,ɟaɲɟᵊ,,,
janjaŋ,ɟɐnɟɐŋ',,,
jànjaŋ,ɟanɟɐŋ',,,
jank,ɟɐŋkʰ,,,
jankalaar,ɟɐŋkɐla:r,,,
jànkalaar,ɟaŋkɐla:r,,,
jànkelaar,ɟaŋkɛla:r,,,
jànkoonte,ɟaŋkɔ:ntɛ,,,
jànnaxe,ɟan:ɐxɛ,,,
jànni,ɟan:i,,,
jànni,[ɉan:i],verbe,,
janoo,[ɉʌnɔ:],,,
janq,ɟɐNqʰ,,,
janq,[ɉʌŋq],nom,,
jànq,ɟaNqʰ,,,
jànq,[ɉaŋq],verbe,,
jànqarfet,ɟaNqɐrfɛt',,,
janqi,,,,
jañse,,,,
jant,ɟɐntʰ,,,
jant,[ɉʌnt],nom,,
jant-jantee,ɟɐntʰɟɐntɛ:,,,
jant-say-wagg,ɟɐntʰsɐjwɐgᵊ,,,
jañu,ɟɐɲu,,,
jaŋar,ɟɐŋɐr,,,
jàpp,ɟapʰ,,,
jàpp,[ɉap:],verbe,,
jàppale,ɟap:ɐlɛ,,,
jàppandal,ɟap:ɐndɐl,,,
jàppandi,ɟap:ɐndi,,,
jàppandiku,ɟap:ɐndiku,,,
jàppandil,ɟap:ɐndil,,,
jàppandu,ɟap:ɐndu,,,
jàppante,ɟap:ɐntɛ,,,
jàppante,[ɉap:ʌnte],verbe,,
jàppoo,[ɉap:ɔ:],verbe,,
jàq,ɟaq',,,
jàq,[ɉaq],verbe,,
jar,[ɉʌr],,,
jara,ɟɐrɐ,,,
jara,[ɉʌrʌ],nom,,
jaraaf,ɟɐra:f,,,
jaraaf,[ɉʌra:f],nom,,
jarag,ɟɐrɐg',,,
jaral,,,,
jarawal,,,,
jar-aw-lakk,ɟɐrɐwlɐkʰ,,,
jarbaat,ɟɐrba:t',,,
jarbaat,[ɉʌrba:t],nom,,
jareñ,ɟɐrɛɲ',,,
jargandal,,,,
jargoñ,ɟɐrgɔɲ',,,
jargoñ,[ɉʌrgɔɲ],nom,,
jariñ,ɟɐriɲ',,,
jariñ,[ɉʌriɲ],verbe,,
jariñoo,ɟɐriɲɔ:,,,
jariñu,ɟɐriɲu,,,
jarkoll,ɟɐrkɔl:,,,
jaroñ,ɟɐrɔɲ',,,
jàrt,ɟart,,,
jartu,ɟɐrtu,,,
jàrtu,ɟartu,,,
jasig,ɟɐsig',,,
jasig,[ɉʌsig],nom,,
jat,ɟɐt',,,
jat,[ɉʌt],verbe,,
jataay,ɟɐta:j,,,
jataay,[ɉʌta:j],nom,,
jataŋ,ɟɐtɐŋ',,,
jataŋ,[ɉʌtʌŋ]],nom,,
jataŋ,[ɉʌtʌŋ],verbe,,
jatkat,ɟɐtkɐt',,,
jatu,ɟɐtu,,,
jaw,ɟɐw,,,
jawriñ,ɟɐwriɲ',,,
jaww,ɟɐwᵊ,,,
jax,ɟɐx,,,
jax,[ɉax],verbe,,
jaxaay,ɟɐxa:j,,,
jaxaay,[ɉʌxa:j],nom,,
jaxal,ɟɐxɐl,,,
jaxas,ɟɐxɐs,,,
jaxase,ɟɐxɐsɛ,,,
jaxase,[ɉʌxʌse],verbe,,
jaxasoo,ɟɐxɐsɔ:,,,
jaxasoo,[ɉʌxʌsɔ:],verbe,,
jaxato,ɟɐxɐtɔ,,,
jaxato,[ɉʌxʌtɔ],nom,,
jaxatu,ɟɐxɐtu,,,
jaxatu,[ɉʌxʌtu],nom,,
jax-jaxi,ɟɐxɟɐxi,,,
jaxran,ɟɐxrɐn',,,
jay,ɟɐj,,,
jayaŋ-jayaŋi,ɟɐjɐŋɟɐjɐŋi,,,
jayaxu,ɟɐjɐxu,,,
jayeel,ɟɐjɛ:l,,,
jayil,ɟɐjil,,,
je,[ɉe],nom,,
jë,ɟə,,,
jë,[ɉə],nom,,
jébb,,,,
jébbaane,,,,
jébbal,ɟeb:ɐl,,,
jébbale,ɟeb:ɐlɛ,,,
jébbalu,ɟeb:ɐlu,,,
jébbalu,[ɉeb:ʌlu],verbe,,
jébbël,[ɉeb:əl],verbe,,
jébbëlu,[ɉeb:əlu],verbe,,
jebbi,ɟɛb:i,,,
jédd,ɟedᵊ,,,
jee,,,,
jeeg,ɟɛ:g',,,
jeeg,[ɉe:g],adverbe,,
jeeg,[ɉe:g],nom,,
jéeg,ɟe:g',,,
jéeg,[ɉe:g],verbe,,
jéegal,ɟe:gɐl,,,
jeegi,,,,
jéego,ɟe:gɔ,,,
jéegó,[ɉe:go],nom,,
jéem,ɟe:m',,,
jéem,[ɉe:m],verbe,,
jéemantal,ɟe:mɐntɐl,,,
jéemantu,ɟe:mɐntu,,,
jeeñ,ɟɛ:ɲ',,,
jeeñ,[ɉe:ɲ],verbe,,
jeeneer,ɟɛ:nɛ:r,,,
jéer,ɟe:r,,,
jéeri,ɟe:ri,,,
jeex,ɟɛ:x,,,
jeex,[ɉe:x],verbe,,
jéex,ɟe:x,,,
jéex,[ɉe:x],verbe,,
jéexaatu,ɟe:xa:tu,,,
jeexal,ɟɛ:xɐl,,,
jeexit,ɟɛ:xit',,,
jeexital,,,,
jeey,,,,
jëf,ɟəf,,,
jëf,[ɉəf],nom,,
jëfandikoo,ɟəfɐndikɔ:,,,
jëfandiku,,,,
jëfandiku,[ɉəfʌndiku],verbe,,
jëfe,ɟəfɛ,,,
jëfin,ɟəfin',,,
jëflante,ɟəflantɛ,,,
jëf-lekk,ɟəflɛkʰ,,,
jégaajél,ɟega:ɟel,,,
jege,ɟɛgɛ,,,
jege,[ɉege],verbe,,
jége,ɟegɛ,,,
jegeñ,ɟɛgɛɲ',,,
jégén,ɟegen',,,
jégéñ,ɟegeɲ',,,
jégën,ɟegən',,,
jegeñal,ɟɛgɛɲɐl,,,
jégeñante,ɟegɛɲɐntɛ,,,
jégeñanteel,ɟegɛɲɐntɛ:l,,,
jégér,ɟeger,,,
jegesi,ɟɛgɛsi,,,
jegesi,[ɉegesi],verbe,,
jegeyoo,ɟɛgɛjɔ:,,,
jégeyoo,ɟegɛjɔ:,,,
jégg,ɟegᵊ,,,
jëgg,ɟəgᵊ,,,
jëggaani,ɟəg:a:ni,,,
jéggal,ɟeg:ɐl,,,
jéggalu,ɟeg:ɐlu,,,
jéggan,,,,
jéggi,ɟeg:i,,,
jéggi,[ɉeg:i],verbe,,
jekk,ɟɛkʰ,,,
jekk,[ɉek:],verbe,,
jëkk,ɟəkʰ,,,
jëkk,ɟək:ʰ,nom,,
jëkk,[ɉək:],verbe,,
jekkadi,ɟɛk:ɐdi,,,
jekkali,ɟɛk:ɐli,,,
jekkali,[ɉek:ʌli],verbe,,
jekkaliku,ɟɛk:ɐliku,,,
jëkkante,jək:ɐntɛ,,,
jëkkante,[ɉək:ʌnte],verbe,,
jëkkantu,jək:ɐntu,,,
jëkke,ɟək:ɛ,,,
jëkkër,ɟək:ər,,,
jëkkër,[ɉək:ər],nom,,
