ID,Mot_Vedette,Prononciation,Catégorie_Grammaticale,Classe_Nominale,Sens_ID,Définition,Traduction_Française,Catégorie_Grammaticale_Traduction_Française_Mot_Vedette,Phrase_Illustration,Traduction_Française_Phrase_Illustration
kogg1,kogg,kɔg:ᵊ,turu bokkaale,b-,kogg1_1,xeer,caillou,nom,dafa sotti ay kogg si buntu kër gi,Il a versé des cailloux devant la porte.
koj1,koj,kɔc',waxe-jëfin,,koj1_1,ñu tase te duñu bokk yoon,coincer,verbe,dina la koj subba,Je te coincerai demain.
kojór1,kojór,koɟor,turu bokkaale,b-,kojór1_1,weq,cou-de-pied,nom,kojór bi moy metti,Le cou-de-pied lui fait mal.
kok1,kok,kɔk',turu bokkaale,,kok1_1,buteelu weñ bu ñuy def ndoq bunu suukar wala sàngara.,Canette,nom,kukk bi nga ma joq dafa tuuti,La canette que tu m'a donnée est petite.
kokkali1,kokkali,kɔk:ɐli,waxe-jëfin,,kokkali1_1,ñaawal nit,tourner en dérision,verbe,mi ngiy kokkali xaritam,Il est en train de tourner en dérision son ami.
kokombar1,kokombar,kɔkɔmbɐr,turu bokkaale,b-,kokombar1_1,xeetu mbayteef,concombre,nom,mi ngiy lekk kokombar,Il est en train de manger du comcombre.
kol1,kol,kɔl,turu bokkaale,g-,kol1_1,luñuy sango,écharpe,nom,jënd naa kol,J'ai acheté une écharpe.
kolkolaat1,kolkolaat,kɔlkɔla:t,turu bokkaale,b-,kolkolaat1_1,xeetu naaw-naaw buy defar lem,variété de mouche qui produit du miel,nom,lemu kolkolaat lay wër,Du miel d'un type de mouche c'est ce qu'il est entrain de chercher.
koll1,koll,kɔl:ᵊ,turu bokkaale,g-,koll1_1,biir bu rey,ventre,nom,koll bi mooy metti,C'est le ventre qui lui fait mal.
kollëre1,kollëre,kol:əre,turu bokkaale,g-,kollëre1_1,xarit bu yag,relations,nom,ci kollëre gi lay xool,Il tient compte des relations.
kolloor1,kolloor,kol:o:r,turu bokkaale,b-,kolloor1_1,paxu janax,trou extérieur de la souris,nom,kolloor bi la xale yi fàtt,C'est le trou estérieur de la souris que les enfants ont bouché.
kolu1,kolu,kɔlu,waxe-jëfin,,kolu1_1,sangu ak kol,porter un châle,verbe,sama maam day kolu,Ma grand-mère porte un châle.
komborko1,komborko,kɔmbɔrkɔ,turu bokkaale,b-,komborko1_1,njeextalu yaawuwaay,rebord,nom,komborko bi moo yaxu,C'est le rebord qui est détruit.
koñ1,koñ,kɔɲ',turu bokkaale,b-,koñ1_1,fu ñaar mbir di dogante,angle,nom,mi ngi dëkk ci koñ bi,Il habite à l'angle.
kongassaane1,kongassaane,kɔŋgɐs:a:nɛ,turu bokkaale,b-,kongassaane1_1,xeetu dugub,variété de sorgho,verbe,renn kongassaane la ji,cette année il a cultivé une variété de sorgho
kontaan1,kontaan,kɔnta:n,waxe-nekkin,,kontaan1_1,beg,être content,verbe,dama kontaan tey bala la gise ngay wax,Je suis content aujourd'hui quand je t'ai vu parler.
koo1,koo,kɔ:,,,koo1_1,,Le,article défini,,
kooba1,kooba,kɔ:bɐ,turu bokkaale,g-,kooba1_1,xeetu njaa àll lu tollu ni nag,antilope-cheval,nom,lii mooy kooba boo ko xamul,C'est cela une antilope-cheval si tu ne le sais pas.
koog1,koog,kɔ:k',turu bokkaale,,koog1_1,leket bu ndaw bunu kuppati,courge séchée,nom,damay jaay ay koog,Je vends des courges séchées.
koolute1,koolute,kɔ:lutɛ,turu bokkaale,g-,koolute1_1,woolu,confiance,nom,ci sëy koolute lu ci am solo la,Dans le mariage la confiance est importante.
koom1,koom,ko:m,turu bokkaale,b-,koom1_1,xeetu peñe bu guddu,peigne à dents longues et espacées,nom,jaay ma koom,Vends-moi une peigne
koom-koom1,koom-koom,kɔ:m'kɔ:m,turu bokkaale,b-,koom-koom1_1,am-am,économie,nom,koom-koom reew mi dafa daanu,L'économie du pays est en baisse.
kooni1,kooni,ko:ni,turu bokkaale,g-,kooni1_1,xeetu garab,rondier,nom,duma lekk doomu kooni,Je ne mange pas de fruits de rondier.
kooñoor1,kooñoor,kɔ:ɲɔ:r,turu bokkaale,b-,kooñoor1_1,ku amul yaram,Gringalet,nom,doo lekk moo tax nga nekk kooñoor,Tu ne manges pas c'est pour cela tu es un gringalet.
kooy1,kooy,kɔ:y,turu bokkaale,g-,kooy1_1,ñaari xuuri goor,pénis,nom,góor mooy am kooy,C'est le sexe masculin qui a le penis
kopp1,kopp,kɔp:ə,turu bokkaale,b-,kopp1_1,luñuy naane,pot,nom,jox ma kopp bi,Donne-moi le pot
koppar1,koppar,kɔppɐr,turu bokkaale,g-,koppar1_1,xaalis,argent,nom,da nga bari koppar,Tu as beaucoup d'argents.
koppartu1,koppartu,kɔp:ɐrtu,waxe-jëfin,,koppartu1_1,naq nit ba jël ci moom xaalis,soutirer de l'argent à quelqu'un,verbe,sama maam bu fi dikke dama koy koppartu,Quand mon grand-père arrive je lui soutire de l'argent.
koppin1,koppin,kɔp:in,turu bokkaale,b-,koppin1_1,kanaara bu njool,dindon,nom,day jaay ay koppin,Il vend des dindons.
kor1,kor,kɔr,turu bokkaale,,kor1_1,ki nga nopp,Chéri de,nom,kor ndey lay wax,Il parle du chéri de ndey.
kor1,kor,kɔr,turu bokkaale,g-,kor1_1,dindi ak koolute,trahison,nom,kor baaxul,La trahison est mauvaise.
korite1,korite,kɔritɛ,turu bokkaale,g-,korite1_1,xewu koor gu jeex,célébration de la fin du mois de ramadan,nom,renn benn korite moo am,Cette année il n'y a qu'une seule korité.
kort1,kort,kɔrtᵊ,waxe-jëfin,,kort1_1,sanni liggéey ab nit,jeter un sortilège,verbe,danu ko kort,On lui a jeté un sortilège.
kos1,kos,kɔs,waxe-jëfin,,kos1_1,taal,craquer une allumette,verbe,xale yi ñu ngi kos alimeet bi,Les enfants craquent l'allumette.
kos1,kos,kɔs,turu bokkaale,b-,kos1_1,rëdd wu ndaw wu damm,virgule,nom,defal ab kos ci gannaaw baat bi,Mets une virgule apres le mot.
kot1,kot,kɔt',waxe-jëfin,,kot1_1,toj dara ngir genne li nekk ci biir,extirper un mollusque de sa coquille,verbe,jox ko kiir yi mu kot leen,Donne-lui les moules qu'il les enlève de leurs coquilles.
koti1,koti,kɔti,turu bokkaale,b-,koti1_1,xeetu mala géej,crabe,nom,day jaay ay koti,Elle vend des crabes.
kotom1,kotom,kɔtɔm',waxe-nekkin,,kotom1_1,lu lemmu,être rabougri,verbe,dafa am ay nopp yu kotom,il a des oreilles rabourgries.
kott1,kott,kɔt:ᵊ,waxe-jëfin,,kott1_1,bërëwin,serrer entre les cuisses ou dans le creux du coude,verbe,dafa kott xale bi bamu koy door,Il a serré l'enfant entre les cuisses.
kow1,kow,kɔw,turu bokkaale,g-,kow1_1,lu la tiim,dessus,nom,mi ngi ci kaw,Il est au dessus.
kowe1,kowe,,,,kowe1_1,,,,,
kow-kow1,kow-kow,kɔwkɔw,turu bokkaale,b-,kow-kow1_1,nitu àll,paysan,nom,kaw-kaw yi sonn nañu,Les paysans sont fatigués.
kow-kow1,kow-kow,,,,kow-kow1_1,,,,,
kox-kox1,kox-kox,kɔxkɔx,waxe-jëfin,,kox-kox1_1,saqat bu sew,toussoter,verbe,looy kox-kox da nga feebar,Pourquoi tu toussotes tu es malade.
kubéer1,kubéer,kube:r,turu bokkaale,g-,kubéer1_1,ubukaayu dara,couvercle,nom,ubbil kubéer gi,Tu ouvres le couvercle.
kuccal1,kuccal,kuc:ɐl,waxe-jëfin,,kuccal1_1,rëkk nit ak sa conc,frapper avec le coude,verbe,dafa kuccal mag bi,Il a frappé son frère avec le coude.
kuddu1,kuddu,kuddu,turu bokkaale,g-,kuddu1_1,tibbukaayu ñam,cuillère,nom,joq ma kuddu gi,Donnes-moi la cuillère.
kujje1,kujje,kuj:ɛ,turu bokkaale,g-,kujje1_1,jëfi wujjé,rivalité,nom,dafa am kujje diggante ñaar ñii,Il y a une rivalité entre ces deux là.
kukk1,kukk,kukkə,turu bokkaale,b-,kukk1_1,buteelu weñ bu ñuy def doq bunu suukar wala sàngara.,Canette,nom,kukk bi la ma joq,C'est la canette qu'il m'a donné.
kulbét1,kulbét,kulbet',waxe-jëfin,,kulbét1_1,ubbi bi gaaw,ouvrir soudainement,verbe,dafa ne kulbét bunt bi,Il a ouvert soudainement la porte.
kumax1,kumax,kumɐx,turu bokkaale,b-,kumax1_1,ki yore njulli yi,protecteur mystique des circoncis,nom,kumax bi nekku fi,Le protecteur mystique est absent.
kumba1,kumba,kumbɐ,turu bokkaale,s-,kumba1_1,sér bu ndaw,pagne,nom,tey nafi kumba la sol,Aujourd'hui nafi a porté un pagne.
kumba-amul-ndey1,kumba-amul-ndey,kumbɐ?ɐmulndɛj,turu bokkaale,,kumba-amul-ndey1_1,jiggéen ju yaayam dee,coumba l'orpheline,nom,Seetaan nga coumba-amul-ndey,As tu regardé Coumba-amul-ndey.
kumbudu1,kumbudu,kumbudu,turu bokkaale,g-,kumbudu1_1,fas bu ndaw,tout jeune poulain,nom,ab kumba la bëgg,Il a besoin d'un tout jeune poulain.
kumpa1,kumpa,kumpɐ,turu bokkaale,g-,kumpa1_1,lu kenn xamul,secret,nom,ku muna dénc kumpa nga,Tu sais garder un secret.
kuntaaba1,kuntaaba,kunta:bɐ,waxe-jëfin,,kuntaaba1_1,dóor ak tànk,Donner un coup de pied,verbe,da ko kuntaaba mu daanu,Il lui a donné un coup de pied il est tombé.
kuppati1,kuppati,kup:ɐti,waxe-jëfin,,kuppati1_1,doginu baatu mbubbu,Découper,verbe,dina ko kuppati subba,Je le découperai demain.
kuppe1,kuppe,kup:ɛ,turu bokkaale,b-,kuppe1_1,fowukaay bu nuy weq topp si,ballon,nom,jënd naa kuppe,j'ai acheté un ballon.
kuppukala1,kuppukala,kup:ukɐlɐ,turu bokkaale,b-,kuppukala1_1,xeetu koti,crabe,nom,waa ndar nuñu bëgge kuppukala,Les Saint-louisiens aiment les crabes.
kurél1,kurél,kurel,turu bokkaale,g-,kurél1_1,daje mboolo,assemblée,nom,tey danu am kurél,Aujourd'hui nous avons une assemblée.
kurfeñ1,kurfeñ,kurfɛɲ,waxe-jëfin,,kurfeñ1_1,door ak baaram yuñu bank,donner un coup de poing,verbe,da ko kurfeñ mu daanu,Il lui a donné un coup de poing et il est tombé.
kurpeñ1,kurpeñ,kurpɛɲ,waxe-jëfin,,kurpeñ1_1,door ah baaraam yuñu bank,Donner un coup de poing,verbe,da ko kurfeñ mu daanu,Il lui a donné un coup de poing et il est tombé.
kurus1,kurus,kurus,turu bokkaale,g-,kurus1_1,limukaayu baati siikar,chapelet,nom,dafa ma joq ab kurus,Il m'a donné un chapelet.
kus1,kus,kus,turu bokkaale,g-,kus1_1,taat,fesse,nom,tegal sa kus fii,tu déposes tes fesses ici.
kuti1,kuti,kuti,turu bokkaale,b-,kuti1_1,xaj bu ndaw,chiot,nom,am naa kuti bu rafet,J'ai un joli chiot.
kutt1,kutt,kut:ᵊ,waxe-jëfin,,kutt1_1,rayinu picc booy texale baat bi ak sa loxo,décapiter à la main,verbe,dafa kutt pitax bi,Il a décapité le pigeon à la main.
kuude1,kuude,ku:dɛ,turu bokkaale,g-,kuude1_1,kuy aw,cordonnerie,nom,yobul ma sama teere bi ci kuude gi,tu amenes mons gris-gris chez le cordonnier.
kuuj1,kuuj,ku:c',waxe-jëfin,,kuuj1_1,damm koñ,tourner,verbe,boo deme ba fee nga kuuj,Si tu arrives la-bas tu tounes
kuuñ1,kuuñ,ku:ɲ',waxe-nekkin,,kuuñ1_1,ku loxoom dag,être manchot,verbe,dafa kuuñ,Il est  manchot.
kuuñ1,kuuñ,ku:ɲ,turu bokkaale,b-,kuuñ1_1,ku sa loxo banku,manchot,nom,kuuñ bi la ko jox,C'est au manchot qu'il l'a donné.
kuur1,kuur,ku:r,turu bokkaale,g-,kuur1_1,li ñuy dëbb ci gënn,pilon,nom,kuur gi la ko door,Il l'a frappé avec le pilon.
kuus1,kuus,ku:s,turu bokkaale,g-,kuus1_1,xeetu rab bu gàtt bi ñu ne day joxe xaalis,lutin,nom,kuus la bëgg bëreel,Il veut lutter avec un lutin.
kuuy1,kuuy,ku:j,turu bokkaale,m-,kuuy1_1,xar mu góor,bêlier,nom,ab kuuy la jënd,Il a acheté un bêlier.
laab1,laab,lɐ:p',waxe-jëfin,,laab1_1,li ñuy def ci gémmiñu as ngir muy jàdd wala muy taxaw,mettre le mors,verbe,subba su nekk day laab fasam,Chaque jour il met le mors de son cheval.
laab1,laab,la:p',waxe-nekkin,,laab1_1,lu set,être prope,verbe,ndox mu laab lañuy jàppe,C'est avec de l'eau propre qu'on doit faire les abulitions.
laab1,laab,la:p',waxe-jëfin,,laab1_1,raxas ak ndox,nettoyer à l'eau,verbe,demal laab xale bi,Vas nettoyer à l'eau l'enfant.
laabaan1,laabaan,la:ba:n',waxe-jëfin,,laabaan1_1,luy wane seet bi jànq la,annoncer la verginité de la mariée,verbe,loolu tëgg laabaan la,Ceci est le son de tam-tam annonçant la verginité de la mariée.
laabiir1,laabiir,la:bi:r,waxe-nekkin,,laabiir1_1,ku rafet xol,être charitable,verbe,sa yaay dafa laabiir,Ta mère est charitable.
laabir1,laabir,la:bir,waxe-nekkin,,laabir1_1,rafet xol,être charitable,verbe,sa yaay dafa laabiir,Ta mère est charitable.
laabu1,,,,,laabu1_1,raxas sa kus,se laver le postérieur,verbe,demal laabu,va te laver le postérieur.
laaf1,laaf,la:f,turu bokkaale,m-,laaf1_1,naawukaay,aile,nom,jox ma laaf mi,Donnes-moi l'aile.
laafa1,laafa,la:fɐ,turu bokkaale,g-,laafa1_1,mbaxana,bonnet,nom,sa laafa gi rafet na,Ton bonnet est joli.
laafam-ganaar1,laafam-ganaar,la:fɐmᵊgɐna:r,waxe-nekkin,,laafam-ganaar1_1,,Avoir les épaules en forme d'ailes de poule,verbe,am na ñu am laafam-ganaar,Il y a des gens qui ont les épaules en forme d'ailes de poule.
laag1,laag,la:k',waxe-jëfin,,laag1_1,daw ay jeego yu ndaw,Courir à petits pas,verbe,looy laag,Pourquoi courir à petits pas.
laago1,laago,la:gɔ,turu bokkaale,b-,laago1_1,cér bu yàqu,infirmité,nom,sa laago bi moo la tere am liggéey,C'est ton infirmité qui t'empêche d'avoir un travail.
laaj1,laaj,la:c',waxe-jëfin,,laaj1_1,,demander,verbe,Looy laaj,Qu'est ce que tu demandes.
laaj1,laaj,la:j',turu bokkaale,b-,laaj1_1,wax ngir xam,question,nom,laaj bi am na solo,La question est importante.
laaj1,laaj,la:c',turu bokkaale,j-,laaj1_1,mbaytéef wu melni soble,ail,nom,bi ci def laaj,Ne mets pas d'ail
laajte1,laajte,la:jtɛ,waxe-jëfin,,laajte1_1,wutt xam,demander,verbe,bul laajte fumu ne,Ne demandes pas où il est.
laajte1,laajte,la:jtɛ,turu bokkaale,b-,laajte1_1,baat ngir xam,question,nom,bayil lajte bi,Arrêtes de poser la question.
laal1,laal,la:l,waxe-jëfin,,laal1_1,teg sa loxo fenn,toucher,verbe,laalal geen gi,Touche la queue.
laalo1,laalo,la:lɔ,turu bokkaale,j-,laalo1_1,xob wala meenum rataxal cere,Feuille de baobab servant à lier le couscous,nom,laalo ji baaxul,la feuille de baobab servant à lier le couscous n'est pas de bonne qualité.
laambeer1,laambeer,la:mbɛ:r,waxe-jëfin,,laambeer1_1,dëpp dara,Mettre à l'envers,verbe,xale bi dafa laambeer bubbu bi,L'enfant a mis à l'envers son boubou.
laamisoo1,laamisoo,la:misɔ:,waxe-jëfin,,laamisoo1_1,wax njekk ngir wutt a jubbo,Parler à quelqu'un à l'amadouant,verbe,ni nga bëgge laamisoo ag jiggéen ñi,Comme tu aimes parler en amadouant les filles.
laañaan-gàmbi1,laañaan-gàmbi,la:ɲa:ngambi,turu bokkaale,b-,laañaan-gàmbi1_1,ubbeeku bu feete soow,Entrée situé à l'ouest,nom,ci laañaan-gàmbi bi la jare,Il est passé à travers l'entrée située à l'ouest.
laar1,laar,la:r,turu bokkaale,b-,laar1_1,xeetu teere,Talisman,nom,dafa tàkk laar,Il porte un talisman
laas1,laas,la:s,turu bokkaale,w-,laas1_1,luy génn ci bët bu nit dee nelaw,Chassie,nom,sa bëtt yi am na ay laas,Tes yeux ont des chassies.
laat1,laat,la:t',turu bokkaale,b-,laat1_1,bant yi tegu ci geet,Chevron,nom,dina jënd ay laat,Je vais acheté des chevrons.
laatikaaf1,laatikaaf,la:tika:f,waxe-nekkin,,laatikaaf1_1,lu def sa yaram àttanul,Être exténué,verbe,dox nga ba laatikaaf,Tu as tellement marché jusqu'à être exténué.
laaw1,laaw,la:w,waxe-jëfin,,laaw1_1,wër,Encercler,verbe,doxum taw mi dafa laaw kër gi,L'eau de puit a encerclé la maison.
laax1,laax,la:x,waxe-jëfin,,laax1_1,xeetu ñam bu ñuy defare ak sunguf,Préparer une bouillie de céréal,verbe,deel laax jaay,Il faut préparer de la bouillie de céréal et commercialiser.
laax1,laax,la:x,turu bokkaale,b-,laax1_1,,Bouillie de céréal,nom,sa laax bi neex na,Ta bouillie de céréal est bonne.
lab1,lab,lɐb,waxe-jëfin,,lab1_1,suux cim ndox,Se noyer,verbe,doom ji dafa lab,Son fils s'est noyé
labaj1,labaj,lɐbɐj,waxe-jëfin,,labaj1_1,jaxase,Truquer,verbe,tam nga bu nu la daxe nga labaj,Tu as l'habitude si on te gagne tu truques.
laban1,laban,lɐbɐn,turu bokkaale,b-,laban1_1,,Lobe,nom,laban yi moo rot,C'est les lobes qui sont tombées
labat1,labat,lɐbɐt,waxe-jëfin,,labat1_1,dox jabar,Briguer,verbe,kii mooy labat xale bu rafet bi ngay wax,C'est lui qui brigue la belle fille dont tu parles.
labat-labate1,labat-labate,lɐbɐtlɐbɐtɛ,waxe-jëfin,,labat-labate1_1,di ko yobbu fu nekk,Transporter dans ses bras,verbe,ba doom ji nelawe da ko labat-labate dem tëral ko,Quand son fils s'est endormi il l'a transporté dans ses bras le coucher.
làbbali1,làbbali,labbɐli,waxe-jëfin,,làbbali1_1,gënn a dolli,Accélérer,verbe,bayil fas bi ngay làbbali,Arrêtes d'accélérer le cheval.
làcc1,làcc,lacʰ,waxe-nekkin,,làcc1_1,mënn a tul dara,Flapi,adjectif qualificatif,dafa ne làcc si lal bi,Il est flapi sur le lit.
laf1,laf,lɐf,waxe-jëfin,,laf1_1,ber,Mettre de côté,verbe,jooju mbir laf ko,Cette chose met la de côté.
laf1,laf,lɐf,turu bokkaale,b-,laf1_1,doole,Force,nom,sama doom ji amul laf,Mon fils n'a pas de force.
lafañ1,lafañ,lafɐɲ,waxe-jëfin,,lafañ1_1,ku mënul a dox,Être paralytique,verbe,dafa lafañ moo tax demul fenn,Il est paralytique c'est pour cela il ne va nulle part.
lafañ1,lafañ,lɐfɐɲ,turu bokkaale,b-,lafañ1_1,,Paralysie,nom,,
lagaj1,lagaj,lɐgɐj,waxe-nekkin,,lagaj1_1,ku ñakk jëru tànk,Être pied bot,verbe,baayam dafa lagaj,Son père est pied bot.
lagaj1,lagaj,lɐgɐj,turu bokkaale,b-,lagaj1_1,,Un pied bot,nom,lagaj bi dëkk fii lay lajte,Il demande le pied bot qui habite ici.
làgg1,làgg,lɐgʰ,waxe-jëfin,,làgg1_1,xellu,Courir à petits pas,verbe,buy daw day làgg,Quand il court il fait de petits pas.
làggal1,làggal,lɐggɐl,waxe-nekkin,,làggal1_1,def ko mu waññeeku,Rendre infirme,verbe,feebar bee ko làggal,C'est la maladie qui l'a rendu infirme.
làggi1,làggi,laggi,waxe-nekkin,,làggi1_1,cër bu waññiku,Avoir une déformation suite à une fracture,verbe,tànk bi làggi na,Son pied a eu une déformation
lajj1,lajj,lɐjjə,waxe-nekkin,,lajj1_1,mbir mu sottiwul,Echouer à une épreuve,verbe,dafa laj joŋante bi mu doon def,Il a échoué l'examen qu'il faisait.
lakk1,lakk,lɐkʰ,waxe-jëfin,,lakk1_1,lekkug tàng,Brûler,verbe,damay lakk samay kayit,Je brûle mes papiers.
lakk1,lakk,lɐkʰ,turu bokkaale,b-,lakk1_1,sebbu,Incendie,nom,lakk moo am fee,Il y a un incendie la-bas
làkk1,làkk,lakʰ,waxe-jëfin,,làkk1_1,wax kàllaama,Parler une langue,verbe,wolof lay làkk,IL parle wolof.
làkk1,làkk,lakʰ,waxe-jëfin,,làkk1_1,ñaak fenn,Cloturer avec une haie vive,verbe,këram da ko làkk,IL a cloturé sa maison avec une haie vive.
làkk1,làkk,lakʰ,turu bokkaale,b-,làkk1_1,tOokër bu ñambi,Champ de manioc,nom,am na ñaari làkk,J'ai deux champs de manioc.
làkk1,làkk,lakʰ,turu bokkaale,w-,làkk1_1,kàllaama,Langue,nom,sa làkk wi xamuma ko,Je connais pas ta langue.
lakkal1,lakkal,lɐkkɐl,waxe-jëfin,,lakkal1_1,fitnaal,Agacer,verbe,sa doom ji lakkal na ma,Ta fille m'agace.
lakkale1,lakkale,lɐkkɐlɛ,waxe-nekkin,,lakkale1_1,ku sonale,Être agaçant,verbe,jiggéen ji ku lakkale la,Cette fille est agaçante.
lakkit1,lakkit,lɐkkit,turu bokkaale,b-,lakkit1_1,joge ci lunu làkk,Brûlis,nom,ci lakkit bi lay dox,Il marche sur les brûlis.
lakk-lakk1,lakk-lakk,lɐkʰlɐkʰ,turu bokkaale,b-,lakk-lakk1_1,fu safara jaar,Brûlure,nom,lakk-lakk bi moo koy metti,C'est la brûlure qui lui fait mal
lal1,lal,lɐl,waxe-jëfin,,lal1_1,weer am njaay,Etaler,verbe,mi ngi lal njayam ci mbed mi,Elle a étalé sa marchandise dehors.
lal1,lal,lɐl,turu bokkaale,b-,lal1_1,makkaanum tëdd,Lit,nom,jend naa lal,J'ai acheté un lit.
làlli1,làlli,lalli,waxe-jëfin,,làlli1_1,téggi,Défaire,verbe,demal nga làlli,vas défaire
laltaay1,laltaay,lɐyta:y,turu bokkaale,l-,laltaay1_1,li nuy jiital bamu nooy,Coussin qu'on place sur une selle,nom,damay foot laltaay yi,Je lave les coussins
laltu1,laltu,lɐlyu,turu bokkaale,y-,laltu1_1,li ñuy lal,Toile de table,nom,defaral laltu bi ñu añ,prépares la toile de table on déjeune.
lam1,lam,lɐm,turu bokkaale,b-,lam1_1,ki yore njulli yi,Surveillant,nom,banu jonge sunu lam bi numu nu sonalewoon,Quand on était circoncis notre surveillant nous fatiguait.
lam1,lam,lɐm,turu bokkaale,b-,lam1_1,takkaayul loxo ci takku-njara,Bracelet,nom,sa lam bi rafet na,Ton bracelet est beau.
lamaan1,lamaan,lɐma:n,turu bokkaale,b-,lamaan1_1,ndawal buur li di joxe suuf,Chef de terre,nom,lamaan bii nimu amee alal,Ce chef de terre est trés riche.
laman1,laman,lɐmɐn,turu bokkaale,b-,laman1_1,ndawal buur li di joxe suuf,Chef de terre,nom,lamaan bii nimu amee alal,Ce chef de terre est trés riche.
lamar1,lamar,lɐmɐr,waxe-jëfin,,lamar1_1,walbatiku,Avoir un effet boomerang,verbe,li nga ko ndoon yeene dafa lamar,Ce qui tu  lui souhaitais s'est retourné contre toi.
lamb1,lamb,lɐmbə,waxe-nekkin,,lamb1_1,njaay mu jarul,Ne pas trouver une personne interéssée,verbe,njayam mi dafa lamb,Sa vente ne trouve pas de personne intéréssée.
làmb1,làmb,lambᵊ,turu bokkaale,j-,làmb1_1,am powum tëgg ak bëre,Lutte,nom,làmb ji demb neex na,La  scéance de lutte d'hier etait bien.
làmbaatu1,làmbaatu,lamba:tu,waxe-jëfin,,làmbaatu1_1,laal loo gisul,Tripoter,verbe,bàyyil di ko làmbaatu,Arrêtes de la tripoter.
làmbaay1,làmbaay,lamba:y,turu bokkaale,b-,làmbaay1_1,yëre yoo sol,Vêtement,nom,sa làmbaay bi xottiku na,Ton vêtement est déchiré.
lambit1,lambit,lɐmbit,turu bokkaale,b-,lambit1_1,la des ca lamu doon jaay,Restes,nom,lambit bi lay maye,Il est en train d'offrir les restes.
làmboo1,làmboo,lambɔ:,waxe-jëfin,,làmboo1_1,muuroo dara,S'entourer,verbe,sëram la làmboo,Elle s'est entourée avec son pagne.
làmmiñ1,làmmiñ,lammiɲ,turu bokkaale,w-,làmmiñ1_1,cër bi ñuy waxe,Langue,nom,làmmiñ wi moo dag,C'est la langue qui est coupée.
làmmiñ-wu-ndaw1,làmmiñ-wu-ndaw,lammiɲᵊwundɐw,turu bokkaale,w-,làmmiñ-wu-ndaw1_1,làmmiñ bu nekk ca biir a biir gémmiñ,Luette,nom,làmmiñ-wu-ndaw wi moo koy metti,C'est la luette qui lui fait mal.
làmp1,làmp,lampə,turu bokkaale,b-,làmp1_1,luuy leeral,Lampe,nom,demal taal làmp bi,Vas allumer la lampe.
lamsal1,lamsal,lɐmsɐl,,,lamsal1_1,yëngali bëtt,Faire de fréquents battements des paupières en parlant,verbe,xale bu jiggéen bi nimu bëgge lamsal,Cette jeune filla aime bien faire de fréquents battements des paupières en parlant.
lanc1,lanc,lɐnc',turu bokkaale,w-,lanc1_1,defdefu gémmiñ,Bouchée,nom,ceeb bi benn lanc la ko def,Le riz il en a fait une bouchée.
làndaŋ1,làndaŋ,landɐŋ,waxe-jëfin,,làndaŋ1_1,mbey mu ñaaw,cultiver en même temps en avant et en arrière,verbe,xooleen ko muy làndaŋ,Regardez-le cultiver en même temps en avant et en arrière.
lang1,lang,lɐng,waxe-nekkin,,lang1_1,yoore,Pendre,verbe,"tuñum giléem lang na, waye rotul","La lèvre du dromadaire pend, mais elle n'est pas tombée (ce n'est pas parce qu'on a des biens épars qu'on en veut pas)"
làng1,làng,langə,waxe-jëfin,,làng1_1,toogando,Former un groupe,verbe,loo leen di làng,Pourquoi formez-vous un groupe.
làng1,làng,langə,turu bokkaale,g-,làng1_1,wër bu ay nit,Cercle de spectateur,nom,làng gi rey na,Le cercle de specteur est grand.
langaamu1,langaamu,lɐnga:mu,waxe-jëfin,,langaamu1_1,jàppug ku bëg ñu yobbaaleko,S'agripper,verbe,golo gi ci car bi la langaamu,Le singe s'est agrippé sur la branche.
lànjaŋ1,lànjaŋ,lanjɐŋ,waxe-jëfin,,lànjaŋ1_1,tëddu ku sonnu,Etre couché sur le dos,verbe,sa baay mi ngi ca suuf garab ga ne lànjaŋ,Ton père est sous l'abre couché sur le dos.
lànk1,lànk,lankə,waxe-jëfin,,lànk1_1,ku nanguwul def li ñu ko wax,Refuser,verbe,ma lànk duma fa dem,Je refuse j'y irai pas.
làññi1,làññi,laɲɲi,waxe-nekkin,,làññi1_1,mu ubbeeku,Être beant,verbe,bunt ba ngi ne làññi,La porte est grande ouverte.
lañset1,lañset,lɐɲsɛt,turu bokkaale,b-,lañset1_1,jumtukaay bu ñaw ngir dag,Lame,nom,lañset bi la jënd,C'est la lame qu'il a acheté.
lantinoor1,lantinoor,lɐntinɔ:r,turu bokkaale,b-,lantinoor1_1,fi ñuy jaarale ndox ngir sol dara,Entonnoir,nom,sa lantinoor bi baaxul,Ton entonnoir n'est pas bon.
lanu1,lanu,lɐnu,,,lanu1_1,,C'est....que,,,
lañu1,lañu,lɐɲu,,,lañu1_1,,C'est.....que,,,
laŋ1,laŋ,lɐŋ,waxe-jëfin,,laŋ1_1,,S'établir inopinément à un endroit,verbe,léegi daal laŋ na bittim-reew,Maintenant il s'est établi inopinément à l'étranger.
làpp1,làpp,lappə,waxe-nekkin,,làpp1_1,jeexub yaram,Avoir maigri,verbe,xar mi làpp na,Le mouton a maigri
làppatoo1,làppatoo,lappɐtɔ:,turu bokkaale,b-,làppatoo1_1,tekkil nit waxi keneen,Interpréte,nom,làppatoo bi jiggéen la,L'interpréte est une fille.
